Thu Mar 17 2022 16:44:06 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /addSP | data:{"message":"Activity Log ErrorQueryFailedError: ER_BAD_FIELD_ERROR: Unknown column 'part_id' in 'field list'","value":[{"timelog":"2022-03-17T16:44:05+08:00","title":"CREATE","part_id":48437,"description":"Created New Standard Parts","user_id":18}],"status":false} | 
Thu Mar 17 2022 16:44:52 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /addSP | data:{"message":"API Error: Redundant on ProductPartNumber PPN and Brand NO BRAND.","status":false} | 
Thu Mar 17 2022 16:46:12 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /addSP | data:{"message":"API Error: Redundant on ProductPartNumber PPN and Brand NO BRAND.","status":false} | 
Thu Mar 17 2022 16:47:49 GMT+0800 (Malaysia Time) | INFO | standardparts-api.log | API: /addSP | data:{"message":"API Done","main":{"erp_code":"M0P-00000307","part_number":"PPN123456"},"status":true} | 
Thu Mar 17 2022 16:47:49 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /addSP | data:{"message":"Activity Log ErrorQueryFailedError: ER_BAD_FIELD_ERROR: Unknown column 'part_id' in 'field list'","value":[{"timelog":"2022-03-17T16:47:48+08:00","title":"CREATE","std_part_id":48438,"description":"Created New Standard Parts","user_id":18}],"status":false} | 
Thu Mar 17 2022 16:50:13 GMT+0800 (Malaysia Time) | INFO | standardparts-api.log | API: /addSP | data:{"message":"API Done","main":{"erp_code":"M0P-00000307","part_number":"PPN123456"},"status":true} | 
Thu Mar 17 2022 16:50:13 GMT+0800 (Malaysia Time) | INFO | standardparts-api.log | API: /addSP | data:{"message":"Activity Log Done","status":true} | 
Tue Mar 22 2022 09:58:46 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /addSP | data:{"message":"API Failed: TypeError: Cannot read properties of undefined (reading 'sp_category')","status":false} | 
Tue Mar 22 2022 09:59:45 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /addSP | data:{"message":"API Failed: TypeError: Cannot read properties of undefined (reading 'sp_category')","status":false} | 
Tue Mar 22 2022 09:59:55 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /addSP | data:{"message":"API Failed: TypeError: Cannot read properties of undefined (reading 'sp_category')","status":false} | 
Tue Mar 22 2022 10:00:55 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /addSP | data:{"message":"API Failed: TypeError: Cannot read properties of undefined (reading 'sp_category')","status":false} | 
Tue Mar 22 2022 10:02:53 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /addSP | data:{"message":"API Error: Unable to find code undefined.","status":false} | 
Tue Mar 22 2022 10:03:44 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /addSP | data:{"message":"API Error: Unable to find code undefined.","status":false} | 
Tue Mar 22 2022 10:05:04 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /addSP | data:{"message":"API Error: Unable to find code undefined.","status":false} | 
Tue Mar 22 2022 10:05:40 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /addSP | data:{"message":"API Error: Unable to find code undefined.","status":false} | 
Tue Mar 22 2022 10:06:04 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /addSP | data:{"message":"API Error: Unable to find code undefined.","status":false} | 
Tue Mar 22 2022 10:07:31 GMT+0800 (Malaysia Time) | INFO | standardparts-api.log | API: /getOneSP | data:{"message":"API Done","total":0,"value":1,"status":true} | 
Tue Mar 22 2022 10:07:52 GMT+0800 (Malaysia Time) | INFO | standardparts-api.log | API: /getOneSP | data:{"message":"API Done","total":1,"value":24217,"status":true} | 
